"","Barcode","block","g_alias","datePlant","dateMature","daysToMaturity","plantCount","hundredSeedWeight","podWseedWeight","seedWeight","meanSeedpPod","tenPodWeight","seedpPod1","seedpPod2","seedpPod3","seedpPod4","seedpPod5","seedpPod6","seedpPod7","seedpPod8","seedpPod9","seedpPod10","genotype","soilSample"
"271","88_3","2","VI001678BG",2022-10-06,"12/26/2022",81,20,4.57,224,136,11.8,7.75,12,12,11,12,12,10,11,13,12,13,"MMC91","Em2"
"272","163_3","1","VI001692AG",2022-10-06,"12/26/2022",81,20,3.09,164,80,13.8,5.97,14,14,13,14,16,12,13,13,15,14,"MMC92","En1"
"273","171_4","3","VI001692AG",2022-10-06,"12/26/2022",81,20,3.1,174,94,12.9,6.4,14,12,13,11,12,13,13,14,13,14,"MMC92","Wn1"
"274","73_4","2","VI001692AG",2022-10-06,"12/28/2022",83,15,3.17,152,88,13.8,5.56,14,12,12,15,15,14,14,14,14,14,"MMC92","Wm1"
"275","140_2","3","VI001698BG",2022-10-06,"12/16/2022",71,20,4.3,284,172,13.1,8.48,15,12,14,13,13,14,12,13,12,13,"MMC93","Wn1"
"276","154_1","2","VI001698BG",2022-10-06,"12/26/2022",81,20,4.28,184,114,12.6,7.4,13,12,13,12,13,12,15,14,10,12,"MMC93","Wn1"
"277","177_1","1","VI001698BG",2022-10-06,"12/7/2022",62,20,4.08,262,156,11.4,5.61,12,13,12,12,11,9,12,10,12,11,"MMC93","En1"
"278","120_5","2","VI001728AG",2022-10-06,"12/26/2022",81,20,3.31,168,90,13.3,6.38,15,12,13,13,13,15,15,13,13,11,"MMC94","Em2"
"279","63_4","3","VI001728AG",2022-10-06,"12/28/2022",83,20,3.2,250,144,12.7,5.58,12,14,13,14,13,12,11,13,13,12,"MMC94","Ws2"
"280","150_5","2","VI001733BG",2022-10-06,"12/26/2022",81,20,4.97,246,154,13.6,8.83,12,13,15,14,14,15,14,12,15,12,"MMC95","En2"
"281","21_1","1","VI001733BG",2022-10-06,"12/19/2022",74,20,4.62,262,184,12.8,7.51,14,13,14,13,13,13,12,12,12,12,"MMC95","Es2"
"282","47_4","3","VI001733BG",2022-10-06,"12/21/2022",76,17,4.94,354,236,13.8,10.12,13,13,14,15,13,14,14,13,15,14,"MMC95","Ws2"
"283","153_2","2","VI001743BG",2022-10-06,"12/26/2022",81,20,4.14,160,76,12.6,7.94,13,11,12,14,14,13,13,9,14,13,"MMC96","Wn1"
"284","59_3","3","VI001743BG",2022-10-06,"12/23/2022",78,20,4.05,238,106,13.1,7.76,14,14,12,14,12,14,13,13,13,12,"MMC96","Ws1"
"285","138_4","2","VI001756BG",2022-10-06,"12/19/2022",74,20,3.94,268,166,12.5,6.95,13,12,14,14,11,11,12,12,13,13,"MMC97","Wn1"
"286","190_3","3","VI001756BG",2022-10-06,"12/12/2022",67,20,3.9,320,198,11.5,5.67,11,12,12,13,11,12,11,10,12,11,"MMC97","Wn2"
"287","183_1","2","VI001762A-GM",2022-10-06,"12/29/2022",84,20,3.49,258,154,12.7,6.89,13,13,13,14,14,12,12,12,13,11,"MMC98","En2"
"288","3_5","1","VI001762A-GM",2022-10-06,"12/23/2022",78,20,3.47,176,88,12.6,6.06,13,14,14,13,11,12,14,11,12,12,"MMC98","Es1"
"289","78_2","3","VI001762A-GM",2022-10-06,"12/28/2022",83,20,3.67,230,142,13.3,7.04,14,13,12,12,13,12,13,15,14,15,"MMC98","Wm2"
"290","136_4","2","VI001806AG",2022-10-06,"12/26/2022",81,20,3.6,194,116,11.5,6.42,10,10,12,11,10,12,12,11,14,13,"MMC99","En2"
"291","47_1","3","VI001806AG",2022-10-06,"12/21/2022",76,20,3.53,258,162,11.4,5.42,12,10,11,12,13,13,10,12,11,10,"MMC99","Ws2"
"292","51_3","1","VI001806AG",2022-10-06,"12/19/2022",74,20,3.63,192,126,10.3,5.43,10,12,5,11,11,10,11,10,12,11,"MMC99","Es1"
"293","13_2","3","VI001806BG",2022-10-06,"12/14/2022",69,20,3.98,260,176,11.2,6.49,11,11,11,11,11,11,12,12,12,10,"MMC100","Ws2"
"294","35_1","1","VI001806BG",2022-10-06,"12/21/2022",76,20,4.02,216,144,11.9,8,12,13,12,14,12,11,11,10,14,10,"MMC100","Es1"
"295","55_3","2","VI001806BG",2022-10-06,"12/19/2022",74,20,4.1,260,152,12,6.52,11,12,12,11,13,12,12,12,13,12,"MMC100","Es2"
"296","28_3","3","VI001820BG",2022-10-06,"12/28/2022",83,20,4.61,110,64,13.1,7.58,14,14,11,14,14,13,15,12,12,12,"MMC101","Ws1"
"297","53_5","1","VI001820BG",2022-10-06,"12/19/2022",74,16,4.5,124,68,13.1,7.41,12,14,14,14,13,13,13,14,12,12,"MMC101","Es2"
"298","8_3","2","VI001820BG",2022-10-06,"12/23/2022",78,12,4.51,70,24,12.2,8.14,13,14,12,13,13,13,11,10,12,11,"MMC101","Es2"
"299","63_1","3","VI001859BG",2022-10-06,"12/14/2022",69,20,5.64,292,198,12.1,8.82,12,12,14,14,11,12,11,11,12,12,"MMC102","Ws2"
"300","9_4","2","VI001859BG",2022-10-06,"12/19/2022",74,13,5.71,236,168,13.7,11.01,15,13,14,14,14,12,14,14,13,14,"MMC102","Ws1"
"301","27_5","3","VI001974BG",2022-10-06,"12/19/2022",74,20,4.25,166,118,11.2,6.17,13,9,11,12,12,9,11,11,11,13,"MMC103","Ws1"
"302","65_5","1","VI001974BG",2022-10-06,"12/21/2022",76,20,4.34,190,124,12.4,6.75,13,13,12,13,13,12,11,13,13,11,"MMC103","Em1"
"303","3_2","1","VI001993BG",2022-10-06,"12/28/2022",83,14,4.55,60,32,11.4,5.81,10,12,11,10,12,11,13,10,12,13,"MMC104","Es1"
"304","60_5","3","VI001993BG",2022-10-06,"12/23/2022",78,20,4.67,88,40,11.8,7.44,11,13,11,13,12,13,11,11,10,13,"MMC104","Ws1"
"305","89_4","2","VI001993BG",2022-10-06,"12/23/2022",78,20,4.68,162,100,12.4,7.69,12,13,13,14,10,12,11,12,14,13,"MMC104","Wm1"
"306","147_5","1","VI002009BG",2022-10-06,"12/14/2022",69,20,3.96,402,284,13.3,7.11,12,14,12,14,14,13,14,15,13,12,"MMC105","En1"
"307","186_1","2","VI002009BG",2022-10-06,"12/12/2022",67,20,3.9,358,216,13.1,6.5,14,13,12,13,14,15,13,13,12,12,"MMC105","Wn1"
"308","129_3","1","VI002012BG",2022-10-06,"12/26/2022",81,17,4.3,80,36,12.4,6.93,13,11,13,13,12,11,11,13,13,14,"MMC106","En1"
"309","73_3","2","VI002012BG",2022-10-06,"12/16/2022",71,20,4.41,220,140,11.7,7.62,11,12,11,11,13,12,11,13,13,10,"MMC106","Wm1"
"310","91_2","3","VI002012BG",2022-10-06,"12/21/2022",76,17,4.33,184,116,13,6.75,13,12,14,13,14,12,14,12,12,14,"MMC106","Wm1"
"311","123_5","3","VI002051BG",2022-10-06,"12/23/2022",78,20,3.92,214,128,12.2,6.94,13,13,11,14,12,12,13,11,11,12,"MMC107","Wm1"
"312","177_3","1","VI002051BG",2022-10-06,"12/26/2022",81,13,4.22,184,110,12.1,6.63,11,12,14,11,12,12,12,11,14,12,"MMC107","En1"
"313","185_1","2","VI002051BG",2022-10-06,"12/26/2022",81,20,4.25,188,116,11.9,6.63,12,12,12,13,12,13,10,11,11,13,"MMC107","Wn1"
"314","20_4","1","VI002063BG",2022-10-06,"12/19/2022",74,20,5.26,194,122,15.8,13.87,17,12,15,16,15,15,18,15,17,18,"MMC108","Es1"
"315","40_2","2","VI002063BG",2022-10-06,"12/28/2022",83,20,5.65,52,18,11.9,8.14,12,12,12,12,11,12,14,13,10,11,"MMC108","Es2"
"316","79_2","3","VI002063BG",2022-10-06,"12/28/2022",83,17,5.27,134,58,14.6,12.01,11,13,15,15,17,15,13,16,14,17,"MMC108","Wm2"
"317","148_1","1","VI002173AG",2022-10-06,"12/26/2022",81,13,4.08,88,44,12.8,6.32,13,14,15,10,11,11,11,15,14,14,"MMC109","En1"
"318","151_5","2","VI002173AG",2022-10-06,"12/26/2022",81,17,4,168,94,13.1,6.92,14,13,11,13,14,14,11,14,14,13,"MMC109","En2"
