,Barcode,block,g_alias,datePlant,dateMature,daysToMaturity,plantCount,hundredSeedWeight,podWseedWeight,seedWeight,meanSeedpPod,tenPodWeight,seedpPod1,seedpPod2,seedpPod3,seedpPod4,seedpPod5,seedpPod6,seedpPod7,seedpPod8,seedpPod9,seedpPod10,genotype,soilSample
99,117_4,1,VI000578AG,10/6/2022,12/26/2022,81,20,3.25,42,18,12.4,5.41,13,14,12,13,11,13,11,11,13,13,MMC25,Em2
100,117_5,1,VI003927AG,10/6/2022,12/26/2022,81,20,3.42,208,130,11.5,5.63,12,13,11,11,12,12,13,10,9,12,MMC224,Em2
101,118_1,2,VI004184AG,10/6/2022,12/14/2022,69,16,3.82,132,90,10.7,5.86,9,10,11,12,10,11,10,13,9,12,MMC247,Em2
102,118_2,2,VI003235AG,10/6/2022,12/23/2022,78,20,4.21,132,74,13.2,7.07,14,12,12,12,14,13,12,14,14,15,MMC165,Em2
103,118_3,2,VI003801BG,10/6/2022,12/26/2022,81,20,5.94,178,108,16.5,14.95,15,14,18,16,19,16,16,16,18,17,MMC215,Em2
104,118_4,2,VI003733BG,10/6/2022,12/26/2022,81,20,3.7,168,96,11.6,6.42,11,12,12,12,12,13,10,12,11,11,MMC207,Em2
105,118_5,2,VI002537AG,10/6/2022,12/21/2022,76,20,4.71,266,166,12.7,8.33,13,12,13,13,12,13,13,13,14,11,MMC127,Em2
106,119_1,2,VI003480BG,10/6/2022,12/23/2022,78,7,5.87,94,46,11.9,10.07,11,11,11,11,12,13,14,12,12,12,MMC185,Em2
107,119_2,2,VI003893AG,10/6/2022,12/26/2022,81,20,4.73,110,64,13.2,8.31,15,14,11,15,13,14,10,14,13,13,MMC219,Em2
108,119_3,2,VI003951AG,10/6/2022,12/14/2022,69,18,5.38,248,174,14.5,8.89,14,15,14,14,16,14,13,16,14,15,MMC230,Em2
109,119_4,2,VI001974BG,10/6/2022,12/19/2022,74,11,4.47,196,126,12.2,6.8,13,13,12,11,11,13,11,13,12,13,MMC103,Em2
110,119_5,2,VI002176AG,10/6/2022,12/23/2022,78,20,4.06,218,132,11.7,6.72,13,13,12,11,11,12,12,10,11,12,MMC111,Em2
111,12_1,3,VI002672AG,10/6/2022,12/19/2022,74,20,6.12,196,120,12.5,10.87,12,13,13,12,14,12,9,13,13,14,MMC133,Ws1
112,12_2,3,VI000164BG,10/6/2022,12/19/2022,74,16,4.2,124,72,10.7,6.52,12,13,10,12,8,9,11,11,8,13,MMC4,Ws1
113,12_3,3,VI000749AG,10/6/2022,12/28/2022,83,16,3.75,136,82,12,6.13,13,11,14,9,10,13,12,13,12,13,MMC35,Ws1
114,12_4,3,VI000554AG,10/6/2022,12/21/2022,76,20,3.78,114,66,12.3,6.13,11,14,12,14,10,12,14,12,12,12,MMC23,Ws1
115,12_5,3,VI002872BG,10/6/2022,12/12/2022,67,20,5.11,304,222,13.1,8.72,13,14,15,11,14,13,14,12,13,12,MMC138,Ws1
116,120_1,2,VI002587AG,10/6/2022,12/19/2022,74,18,6.93,190,120,12.9,10.43,10,14,15,12,15,14,11,13,13,12,MMC129,Em2
117,120_2,2,VI001284AG,10/6/2022,12/23/2022,78,20,3.45,202,114,12.4,7.44,13,11,12,12,12,13,13,12,14,12,MMC58,Em2
118,120_3,2,VI002986AG,10/6/2022,12/26/2022,81,20,3.86,96,54,13.9,7.27,14,14,14,16,12,14,11,14,15,15,MMC143,Em2
119,120_4,2,VI005030BY,10/6/2022,12/26/2022,81,20,4.86,40,16,13.6,9.45,14,15,14,13,13,13,12,15,13,14,MMC290,Em2
120,120_5,2,VI001728AG,10/6/2022,12/26/2022,81,20,3.31,168,90,13.3,6.38,15,12,13,13,13,15,15,13,13,11,MMC94,Em2
121,121_1,2,VI000554AG,10/6/2022,12/26/2022,81,20,3.62,86,42,12.3,5.51,12,12,12,12,12,13,12,13,13,12,MMC23,Wm1
122,121_2,2,VI004006A-GM,10/6/2022,12/26/2022,81,20,3.72,228,132,11.8,7.22,11,11,11,10,14,11,12,13,12,13,MMC235,Wm1
123,121_3,2,VI000616BG,10/6/2022,12/26/2022,81,20,4.11,126,68,13.4,8.03,13,13,13,13,14,15,12,14,13,14,MMC27,Wm1
124,121_4,2,VI000212A-BLM,10/6/2022,12/16/2022,71,20,3.15,172,115,9,4.07,9,9,9,9,10,9,8,9,8,10,MMC9,Wm1
125,121_5,2,KPS1,10/6/2022,12/16/2022,71,20,6.81,426,292,13.3,11.88,14,12,12,14,16,14,14,12,14,11,MB13,Wm1
126,122_1,2,VI001514AG,10/6/2022,12/26/2022,81,20,3.87,158,80,11.8,5.95,11,13,12,14,13,11,12,10,12,10,MMC74,Wm1
127,122_2,2,VI000680AG,10/6/2022,12/16/2022,71,20,4.13,284,188,12.4,7.79,13,12,14,14,12,12,12,10,12,13,MMC30,Wm1
128,122_3,2,VI004965BG,10/6/2022,12/26/2022,81,20,4.29,202,114,13.5,7.62,15,13,12,13,13,14,13,13,15,14,MMC285,Wm1
129,122_4,2,VI001124AG,10/6/2022,12/26/2022,81,20,6.07,180,108,12.3,10.54,12,12,12,12,13,14,12,12,12,12,MMC49,Wm1
130,122_5,2,VI002206AG,10/6/2022,12/23/2022,78,20,5.91,230,136,12.5,9.61,13,13,14,13,13,11,12,12,13,11,MMC116,Wm1
131,123_1,3,VI000188A-BLM,10/6/2022,12/19/2022,74,20,3.92,254,144,12.5,7.97,13,12,13,12,13,10,14,13,12,13,MMC7,Wm1
132,123_2,3,VI000764AG,10/6/2022,12/21/2022,76,20,4.37,230,130,11.4,6.59,12,12,10,12,12,12,11,11,11,11,MMC36,Wm1
133,123_3,3,VI004915BG,10/6/2022,12/26/2022,81,20,4.42,278,168,12.9,9.15,13,13,13,13,12,13,14,12,12,14,MMC275,Wm1
134,123_4,3,VI003514BG,10/6/2022,12/28/2022,83,20,3.42,178,102,13.2,5.83,13,15,14,14,14,13,13,12,12,12,MMC188,Wm1
135,123_5,3,VI002051BG,10/6/2022,12/23/2022,78,20,3.92,214,128,12.2,6.94,13,13,11,14,12,12,13,11,11,12,MMC107,Wm1
136,124_1,3,VI003534BG,10/6/2022,12/26/2022,81,20,4.34,154,80,13.2,7.99,13,14,12,13,14,12,14,13,13,14,MMC191,Wm1
137,124_2,3,VI003725BG,10/6/2022,12/23/2022,78,20,4.28,236,140,13.8,9.13,12,15,15,13,13,14,14,13,14,15,MMC206,Wm1
138,124_3,3,VI000723AG,10/6/2022,12/16/2022,71,20,3.5,308,210,11.9,6.24,12,9,9,13,10,13,14,13,12,14,MMC31,Wm1
139,124_4,3,VI003755BG,10/6/2022,12/26/2022,81,20,4.17,224,136,12.3,7.08,12,12,12,12,13,12,12,13,11,14,MMC211,Wm1
140,124_5,3,VI003720BG,10/6/2022,12/26/2022,81,20,3.12,160,88,13.5,7.37,14,14,12,14,13,14,14,13,13,14,MMC205,Wm1
141,125_1,3,VI004937AG,10/6/2022,12/26/2022,81,20,3.77,170,94,13.4,7.33,14,12,13,15,13,13,13,13,14,14,MMC279,Wm2
142,125_2,3,VI002239AG,10/6/2022,12/19/2022,74,20,4.05,194,124,12.1,6.48,12,12,12,13,10,13,12,14,12,11,MMC117,Wm2
143,125_3,3,VI000942AG,10/6/2022,12/23/2022,78,8,5.14,96,66,12.4,8.83,12,14,9,15,13,11,11,12,15,12,MMC43,Wm2
144,125_4,3,VI004811BG,10/6/2022,12/26/2022,81,20,3.57,186,110,12.3,6.75,11,13,11,12,13,11,13,13,13,13,MMC268,Wm2
145,125_5,3,VI003563A-BR,10/6/2022,12/26/2022,81,16,3.83,114,64,13.3,7.53,12,14,13,13,13,14,13,14,13,14,MMC195,Wm2
146,126_1,3,VI005066A-GM,10/6/2022,12/23/2022,78,18,3.75,176,96,12,6.72,10,13,12,13,13,12,13,12,11,11,MMC292,Wm2
147,126_2,3,VI002647AG,10/6/2022,12/23/2022,78,20,6.73,254,152,12.5,12.3,14,12,13,13,14,13,13,11,10,12,MMC132,Wm2
148,126_3,3,VI003734B-DG,10/6/2022,12/23/2022,78,20,4.5,310,196,11.9,7.9,12,11,11,13,12,12,13,12,11,12,MMC209,Wm2
149,126_4,3,VI003172BG,10/6/2022,12/21/2022,76,20,3.87,296,174,12,6.44,11,14,12,11,11,13,12,12,13,11,MMC158,Wm2
150,126_5,3,VI003685BG,10/6/2022,12/26/2022,81,20,4.17,262,158,13.5,7.77,14,14,14,12,12,15,14,14,12,14,MMC203,Wm2
151,127_1,3,VI003744AG,10/6/2022,12/26/2022,81,16,3.88,166,96,12.9,7.5,14,12,14,13,12,12,13,14,13,12,MMC210,Wm2
152,127_2,3,VI003642AG,10/6/2022,12/26/2022,81,20,4.5,220,138,13,7.68,11,12,13,13,14,13,12,15,13,14,MMC198,Wm2
153,127_3,3,VI005022BG,10/6/2022,12/26/2022,81,16,3.86,112,58,13.5,6.91,13,13,14,14,14,13,14,14,13,13,MMC289,Wm2
154,127_4,3,VI001579BG,10/6/2022,12/21/2022,76,20,4.7,260,160,13.1,8.84,12,12,13,13,15,14,13,13,14,12,MMC84,Wm2
155,127_5,3,VI001096AG,10/6/2022,12/16/2022,71,15,6.66,346,226,12.5,13.55,12,12,14,13,14,12,11,11,13,13,MMC48,Wm2
156,129_1,1,VI000099AG,10/6/2022,12/29/2022,84,19,4.54,54,26,13.3,9.09,14,12,14,13,14,13,13,13,13,14,MMC2,En1
157,129_2,1,VI000735BG,10/6/2022,12/26/2022,81,14,4.6,116,70,14.4,9.75,14,16,15,14,15,14,13,15,15,13,MMC33,En1
158,129_3,1,VI002012BG,10/6/2022,12/26/2022,81,17,4.3,80,36,12.4,6.93,13,11,13,13,12,11,11,13,13,14,MMC106,En1
159,129_4,1,VI004024AG,10/6/2022,12/26/2022,81,8,4.61,42,12,11.9,7.86,14,11,12,13,14,12,10,12,12,9,MMC237,En1
160,129_5,1,VI001535BG,10/6/2022,12/26/2022,81,9,3.78,64,38,12.6,6.84,13,11,13,11,12,13,11,15,13,14,MMC77,En1
161,13_1,3,VI003914AG,10/6/2022,12/19/2022,74,20,3.42,194,124,10.9,5.15,10,12,12,11,11,11,11,11,8,12,MMC222,Ws2
162,13_2,3,VI001806BG,10/6/2022,12/14/2022,69,20,3.98,260,176,11.2,6.49,11,11,11,11,11,11,12,12,12,10,MMC100,Ws2
163,13_3,3,VI001678BG,10/6/2022,12/19/2022,74,20,4.59,216,128,12.1,8.43,11,13,13,13,12,12,12,12,11,12,MMC91,Ws2
164,13_4,3,VI002197BG,10/6/2022,12/28/2022,83,20,4.45,210,128,11.8,8.63,12,12,11,12,10,11,13,13,13,11,MMC115,Ws2
165,13_5,3,VI004347B-BLM,10/6/2022,12/16/2022,71,20,3.8,288,136,10.9,6.28,11,12,10,12,11,12,11,10,10,10,MMC254,Ws2
166,130_1,1,VI002587AG,10/6/2022,12/26/2022,81,20,6.85,314,206,13.3,13.37,12,14,14,14,13,13,12,13,13,15,MMC129,En1
167,130_2,1,VI004934AG,10/6/2022,12/29/2022,84,20,3.82,152,86,13.2,7.22,14,14,13,14,13,12,15,12,12,13,MMC278,En1
168,130_3,1,VI003382BG,10/6/2022,12/21/2022,76,20,3.98,222,134,12.6,6.5,13,13,11,12,12,12,14,13,14,12,MMC177,En1
169,130_4,1,VI003019A-BLM,10/6/2022,12/12/2022,67,13,4.76,252,160,12,7.09,12,12,11,13,13,12,11,13,11,12,MMC146,En1
170,130_5,1,VI004811BG,10/6/2022,12/26/2022,81,20,3.77,140,74,12.1,6.72,13,12,12,12,12,12,13,12,11,12,MMC268,En1
171,131_1,1,VI000461BG,10/6/2022,12/26/2022,81,20,4.22,220,134,12.7,7.29,12,10,12,13,15,15,12,13,12,13,MMC17,En1
172,131_2,1,VI004710AG,10/6/2022,12/26/2022,81,20,4.16,190,122,13.8,8.93,15,14,14,12,14,13,16,12,14,14,MMC263,En1
